"Date","Team1","Team2","Toss_Winner","Toss_Decision","Venue","Run1","Over1","Wicket1","Run2","Over2","Wicket2","Winner","Winnerby","Margin"
"2011-05-05","West Indies","Pakistan","Pakistan","bat","Providence Stadium","139","41.2","10","140","23.4","0","West Indies","wickets","10"
"2013-07-17","Ireland","Pakistan","Pakistan","bat","Observatory Lane, Rathmines","280","49.6","6","123","32.5","10","Pakistan","runs","157"
"2010-02-27","India","South Africa","South Africa","bat","Sardar Patel Stadium, Motera","365","49.6","2","275","44.3","10","South Africa","runs","90"
"2012-06-19","England","West Indies","England","field","Kennington Oval","238","49.6","10","239","44.6","2","England","wickets","8"
"2010-01-04","Bangladesh","Sri Lanka","Sri Lanka","field","Shere Bangla National Stadium","260","49.6","7","261","44.6","3","Sri Lanka","wickets","7"
"2013-10-29","Bangladesh","New Zealand","New Zealand","field","Shere Bangla National Stadium","265","49.5","10","162","29.5","8","Bangladesh","runs","43"
"2006-06-13","Ireland","England","England","bat","Civil Service Cricket Club, Stormont","301","49.7","7","263","49.6","10","England","runs","38"
"2008-06-25","Bangladesh","Sri Lanka","Bangladesh","field","Gaddafi Stadium","357","49.6","10","226","49.6","7","Sri Lanka","runs","131"
"2008-11-07","South Africa","Bangladesh","South Africa","bat","Senwes Park","283","49.6","8","222","44.2","10","South Africa","runs","61"
"2012-03-23","West Indies","Australia","Australia","field","Beausejour Stadium, Gros Islet","294","49.6","7","252","46.4","10","West Indies","runs","42"
"2006-01-29","Australia","Sri Lanka","Sri Lanka","bat","Western Australia Cricket Association Ground","233","49.6","8","237","40.6","4","Australia","wickets","6"
"2013-05-05","Zimbabwe","Bangladesh","Zimbabwe","field","Queens Sports Club","252","49.6","10","253","47.5","4","Zimbabwe","wickets","6"
"2012-03-04","Australia","Sri Lanka","Australia","bat","Brisbane Cricket Ground, Woolloongabba","321","49.6","5","306","49.2","10","Australia","runs","15"
"2016-10-05","Pakistan","West Indies","Pakistan","bat","Sheikh Zayed Stadium","308","49.6","6","172","43.7","10","Pakistan","runs","136"
"2014-01-28","New Zealand","India","India","bat","Seddon Park","278","49.6","5","280","48.1","3","New Zealand","wickets","7"
"2009-02-06","Australia","New Zealand","New Zealand","field","Melbourne Cricket Ground","225","49.6","5","226","48.5","4","New Zealand","wickets","6"
"2009-05-26","England","West Indies","West Indies","field","Edgbaston","328","49.7","7","270","49.4","10","England","runs","58"
"2016-09-04","England","Pakistan","Pakistan","field","Sophia Gardens","302","49.6","10","304","48.2","6","Pakistan","wickets","4"
"2013-11-03","Bangladesh","New Zealand","Bangladesh","field","Khan Shaheb Osman Ali Stadium","307","49.6","5","309","49.2","6","Bangladesh","wickets","4"
"2010-10-31","Pakistan","South Africa","South Africa","bat","Sheikh Zayed Stadium","286","49.6","8","289","49.5","10","Pakistan","wickets","1"
"2010-12-04","India","New Zealand","India","field","Reliance Stadium","224","49.6","8","229","39.4","1","India","wickets","9"
"2012-01-14","South Africa","Sri Lanka","South Africa","field","Buffalo Park","236","49.6","5","237","48.4","5","South Africa","wickets","5"
"2008-11-20","Zimbabwe","Sri Lanka","Sri Lanka","field","Harare Sports Club","127","30.6","10","130","33.2","4","Sri Lanka","wickets","6"
"2008-07-03","India","Sri Lanka","Sri Lanka","bat","National Stadium","308","49.6","8","310","46.5","4","India","wickets","6"
"2015-10-13","Zimbabwe","Ireland","Ireland","field","Harare Sports Club","187","49.2","10","189","46.5","8","Ireland","wickets","2"
"2012-03-06","Australia","Sri Lanka","Australia","bat","Adelaide Oval","271","49.6","5","274","44.2","2","Sri Lanka","wickets","8"
"2015-03-08","Australia","Sri Lanka","Australia","bat","Sydney Cricket Ground","376","49.6","10","312","46.2","10","Australia","runs","64"
"2015-01-23","New Zealand","Sri Lanka","Sri Lanka","field","University Oval","360","49.6","5","252","43.4","10","New Zealand","runs","108"
"2006-12-16","Pakistan","West Indies","Pakistan","field","National Stadium","238","49.7","7","239","46.5","3","Pakistan","wickets","7"
"2006-09-15","South Africa","Zimbabwe","Zimbabwe","bat","Goodyear Park","201","49.6","7","202","43.5","5","South Africa","wickets","5"
"2010-01-07","Bangladesh","India","Bangladesh","bat","Shere Bangla National Stadium","296","49.6","6","297","47.3","4","India","wickets","6"
"2008-11-14","Pakistan","West Indies","Pakistan","bat","Sheikh Zayed Stadium","232","48.8","10","208","48.5","10","Pakistan","runs","24"
"2010-03-04","West Indies","Zimbabwe","Zimbabwe","bat","Providence Stadium","254","49.6","5","252","49.6","10","Zimbabwe","runs","2"
"2015-02-23","England","Scotland","Scotland","field","Hagley Oval","303","49.7","8","184","42.2","10","England","runs","119"
"2013-12-25","Pakistan","Sri Lanka","Sri Lanka","bat","Sheikh Zayed Stadium","225","48.5","10","226","41.1","2","Pakistan","wickets","8"
"2007-04-04","England","Sri Lanka","England","field","Sir Vivian Richards Stadium, North Sound","235","49.8","10","233","49.6","7","Sri Lanka","runs","2"
"2015-03-10","India","Ireland","Ireland","bat","Seddon Park","259","48.6","10","260","36.5","2","India","wickets","8"
"2006-01-31","South Africa","Sri Lanka","Sri Lanka","bat","Western Australia Cricket Association Ground","221","47.4","10","224","45.1","5","South Africa","wickets","5"
"2013-03-17","South Africa","Pakistan","Pakistan","field","New Wanderers Stadium","343","49.6","5","309","48.1","10","South Africa","runs","34"
"2013-10-30","India","Australia","India","field","Vidarbha Cricket Association Stadium, Jamtha","350","49.8","6","351","49.3","4","India","wickets","6"
"2009-09-25","England","Sri Lanka","England","field","New Wanderers Stadium","212","47.4","10","213","44.6","4","England","wickets","6"
"2006-02-14","Australia","Sri Lanka","Sri Lanka","bat","Brisbane Cricket Ground, Woolloongabba","266","49.6","8","267","45.3","1","Australia","wickets","9"
"2009-07-03","West Indies","India","India","field","Beausejour Stadium, Gros Islet","186","26.6","6","159","21.5","4","India","wickets","6"
"2014-05-09","Scotland","England","Scotland","field","Mannofield Park","167","19.6","6","133","19.6","10","England","runs","39"
"2014-08-31","Zimbabwe","Australia","Australia","bat","Harare Sports Club","209","49.6","10","211","47.6","7","Zimbabwe","wickets","3"
